title,genres,keywords,overview
Avatar,Action Adventure Fantasy,future war alien,A paraplegic Marine dispatched to the moon Pandora on a unique mission.
Titanic,Romance Drama,ship iceberg love,A seventeen-year-old aristocrat falls in love with a kind but poor artist aboard the luxurious.
The Avengers,Action Sci-Fi,superhero marvel team,Earth's mightiest heroes must come together and learn to fight as a team.
The Dark Knight,Action Crime Drama,vigilante joker,Batman raises the stakes in his war on crime. With the help of Lt. Jim Gordon and DA Harvey Dent.
Inception,Action Sci-Fi Thriller,dream subconscious thief,A thief who steals corporate secrets through use of dream-sharing technology is given the inverse.
Interstellar,Adventure Drama Sci-Fi,space time relativity,A team of explorers travel through a wormhole in space in an attempt to ensure humanity's survival.
The Matrix,Action Sci-Fi,simulation hacker neo,A computer hacker learns from mysterious rebels about the true nature of his reality.
Gladiator,Action Drama,rome revenge empire,A former Roman General sets out to exact vengeance against the corrupt emperor.
The Godfather,Crime Drama,mafia family crime,The aging patriarch of an organized crime dynasty transfers control to his reluctant son.
Toy Story,Animation Comedy Family,toys friendship childhood,A cowboy doll is profoundly threatened and jealous when a new spaceman figure supplants him.
